stPoint: 95, ndPoint: 95, Hue: 95
stPoint: 96, ndPoint: 96, Hue: 96
stPoint: 97, ndPoint: 97, Hue: 97
stPoint: 98, ndPoint: 98, Hue: 98
stPoint: 99, ndPoint: 99, Hue: 99
stPoint: 100, ndPoint: 100, Hue: 100
stPoint: 101, ndPoint: 101, Hue: 101
stPoint: 102, ndPoint: 102, Hue: 102
stPoint: 103, ndPoint: 103, Hue: 103
stPoint: 104, ndPoint: 104, Hue: 104
stPoint: 105, ndPoint: 105, Hue: 105
stPoint: 106, ndPoint: 106, Hue: 106
stPoint: 107, ndPoint: 107, Hue: 107
stPoint: 108, ndPoint: 108, Hue: 108
stPoint: 109, ndPoint: 109, Hue: 109
stPoint: 110, ndPoint: 110, Hue: 110
stPoint: 111, ndPoint: 111, Hue: 111
stPoint: 112, ndPoint: 112, Hue: 112
stPoint: 113, ndPoint: 113, Hue: 113
stPoint: 114, ndPoint: 114, Hue: 114
stPoint: 115, ndPoint: 115, Hue: 115
stPoint: 116, ndPoint: 116, Hue: 116
stPoint: 117, ndPoint: 117, Hue: 117
stPoint: 118, ndPoint: 118, Hue: 118
stPoint: 119, ndPoint: 119, Hue: 119
stPoint: 120, ndPoint: 120, Hue: 120
stPoint: 121, ndPoint: 121, Hue: 121
stPoint: 122, ndPoint: 122, Hue: 122
stPoint: 123, ndPoint: 123, Hue: 123
stPoint: 124, ndPoint: 124, Hue: 124
stPoint: 125, ndPoint: 125, Hue: 125
stPoint: 126, ndPoint: 126, Hue: 126
stPoint: 127, ndPoint: 127, Hue: 127
stPoint: 128, ndPoint: 128, Hue: 128
stPoint: 129, ndPoint: 129, Hue: 129
stPoint: 130, ndPoint: 130, Hue: 130
stPoint: 131, ndPoint: 131, Hue: 131
stPoint: 132, ndPoint: 132, Hue: 132
stPoint: 133, ndPoint: 133, Hue: 133
stPoint: 134, ndPoint: 134, Hue: 134
stPoint: 135, ndPoint: 135, Hue: 135
stPoint: 136, ndPoint: 136, Hue: 136
stPoint: 137, ndPoint: 137, Hue: 137
stPoint: 138, ndPoint: 138, Hue: 138
stPoint: 139, ndPoint: 139, Hue: 139
stPoint: 140, ndPoint: 140, Hue: 140
stPoint: 141, ndPoint: 141, Hue: 141
stPoint: 142, ndPoint: 142, Hue: 142
